Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S37805193,Canada Goose,Branta canadensis,297,30,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-25,09:50 AM,IBA Canada (protocol),299,1,4.828,,3,NE Nest with Eggs
S37860068,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-06-28,09:40 AM,eBird - Traveling Count,245,1,4.828,,2,FL Recently Fledged Young,"Including a gosling which I denied aid to and probably sent off to paddle its way to its doom in the frigid arctic waters. Rest in peace, gosling, and I probably should have helped you."
S37933605,Canada Goose,Branta canadensis,297,8,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-02,09:29 AM,eBird - Traveling Count,191,1,3.219,,2
S37977359,Canada Goose,Branta canadensis,297,4,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-04,09:42 AM,IBA Canada (protocol),148,1,3.219,,2
S38076241,Canada Goose,Branta canadensis,297,2,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-09,09:15 AM,IBA Canada (protocol),198,1,4.828,,2
S38223337,Canada Goose,Branta canadensis,297,8,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-18,11:44 AM,IBA Canada (protocol),300,1,6.437,,2,FL Recently Fledged Young
S38561315,Canada Goose,Branta canadensis,297,19,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-08-04,03:39 PM,IBA Canada (protocol),132,1,3.219,,2,,,"Does NOT include large uncounted flock of 300+ shorebirds in agitated, mixed flock"
S37389876,Canada Goose,Branta canadensis,297,150,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-04,12:55 PM,IBA Canada (protocol),175,1,4.828,,3
S37515375,Canada Goose,Branta canadensis,297,80,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-09,01:18 PM,IBA Canada (protocol),41,1,2.253,,2,F Flyover
S37538533,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-11,08:36 AM,IBA Canada (protocol),115,1,2.414,,2
S37577282,Canada Goose,Branta canadensis,297,40,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-13,08:58 AM,eBird - Traveling Count,172,1,3.219,,2
S37631584,Canada Goose,Branta canadensis,297,40,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-16,10:11 AM,IBA Canada (protocol),92,1,3.219,,3
S37765278,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-22,12:46 PM,IBA Canada (protocol),91,1,.805,,3,NE Nest with Eggs
S37779298,Canada Goose,Branta canadensis,297,4,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-24,02:53 PM,IBA Canada (protocol),67,1,3.219,,3
S37839441,Canada Goose,Branta canadensis,297,36,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-27,09:25 AM,IBA Canada (protocol),174,1,4.828,,2,FL Recently Fledged Young
S37875930,Canada Goose,Branta canadensis,297,4,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-06-29,04:11 PM,IBA Canada (protocol),37,1,.805,,5
S37956554,Canada Goose,Branta canadensis,297,1,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-03,03:58 PM,eBird - Traveling Count,37,1,3.219,,2
S38076286,Canada Goose,Branta canadensis,297,1,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-09,01:54 PM,IBA Canada (protocol),92,1,4.828,,2
S38076440,Canada Goose,Branta canadensis,297,2,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-10,02:31 PM,IBA Canada (protocol),27,1,1.609,,2
S38155742,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-15,08:25 PM,eBird - Traveling Count,35,1,3.219,,3
S38352762,Canada Goose,Branta canadensis,297,13,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-25,08:45 AM,IBA Canada (protocol),75,1,3.219,,2,FL Recently Fledged Young
