common,scientific,order,family
Tawny Lark,Galerida deva,Passeriformes,Alaudidae (Larks)
lark sp.,Alaudidae sp.,Passeriformes,Alaudidae (Larks)
African River Martin,Pseudochelidon eurystomina,Passeriformes,Hirundinidae (Swallows)
White-eyed River Martin,Pseudochelidon sirintarae,Passeriformes,Hirundinidae (Swallows)
Blue-and-white Swallow,Pygochelidon cyanoleuca,Passeriformes,Hirundinidae (Swallows)
Blue-and-white Swallow (cyanoleuca),Pygochelidon cyanoleuca cyanoleuca,Passeriformes,Hirundinidae (Swallows)
Blue-and-white Swallow (peruviana),Pygochelidon cyanoleuca peruviana,Passeriformes,Hirundinidae (Swallows)
Blue-and-white Swallow (patagonica),Pygochelidon cyanoleuca patagonica,Passeriformes,Hirundinidae (Swallows)
Black-collared Swallow,Pygochelidon melanoleuca,Passeriformes,Hirundinidae (Swallows)
Tawny-headed Swallow,Alopochelidon fucata,Passeriformes,Hirundinidae (Swallows)
Pale-footed Swallow,Orochelidon flavipes,Passeriformes,Hirundinidae (Swallows)
Brown-bellied Swallow,Orochelidon murina,Passeriformes,Hirundinidae (Swallows)
Andean Swallow,Orochelidon andecola,Passeriformes,Hirundinidae (Swallows)
Black-capped Swallow,Atticora pileata,Passeriformes,Hirundinidae (Swallows)
White-thighed Swallow,Atticora tibialis,Passeriformes,Hirundinidae (Swallows)
White-banded Swallow,Atticora fasciata,Passeriformes,Hirundinidae (Swallows)
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows)
Northern Rough-winged Swallow (Northern),Stelgidopteryx serripennis [serripennis Group],Passeriformes,Hirundinidae (Swallows)
Northern Rough-winged Swallow (Ridgway's),Stelgidopteryx serripennis ridgwayi,Passeriformes,Hirundinidae (Swallows)
Southern Rough-winged Swallow,Stelgidopteryx ruficollis,Passeriformes,Hirundinidae (Swallows)
Northern/Southern Rough-winged Swallow,Stelgidopteryx serripennis/ruficollis,Passeriformes,Hirundinidae (Swallows)
Purple Martin,Progne subis,Passeriformes,Hirundinidae (Swallows)
Purple Martin (subis/arboricola),Progne subis subis/arboricola,Passeriformes,Hirundinidae (Swallows)
Purple Martin (hesperia),Progne subis hesperia,Passeriformes,Hirundinidae (Swallows)
Cuban Martin,Progne cryptoleuca,Passeriformes,Hirundinidae (Swallows)
Purple/Cuban Martin,Progne subis/cryptoleuca,Passeriformes,Hirundinidae (Swallows)
Caribbean Martin,Progne dominicensis,Passeriformes,Hirundinidae (Swallows)
Sinaloa Martin,Progne sinaloae,Passeriformes,Hirundinidae (Swallows)
Caribbean/Sinaloa Martin,Progne dominicensis/sinaloae,Passeriformes,Hirundinidae (Swallows)
Cuban/Caribbean/Sinaloa Martin (Snowy-bellied Martin),Progne cryptoleuca/dominicensis/sinaloae,Passeriformes,Hirundinidae (Swallows)
Gray-breasted Martin,Progne chalybea,Passeriformes,Hirundinidae (Swallows)
Southern Martin,Progne elegans,Passeriformes,Hirundinidae (Swallows)
Purple/Southern Martin,Progne subis/elegans,Passeriformes,Hirundinidae (Swallows)
Peruvian Martin,Progne murphyi,Passeriformes,Hirundinidae (Swallows)
Galapagos Martin,Progne modesta,Passeriformes,Hirundinidae (Swallows)
Brown-chested Martin,Progne tapera,Passeriformes,Hirundinidae (Swallows)
Brown-chested Martin (tapera),Progne tapera tapera,Passeriformes,Hirundinidae (Swallows)
Brown-chested Martin (fusca),Progne tapera fusca,Passeriformes,Hirundinidae (Swallows)
martin sp. (Progne sp.),Progne sp.,Passeriformes,Hirundinidae (Swallows)
Tree Swallow,Tachycineta bicolor,Passeriformes,Hirundinidae (Swallows)
Tumbes Swallow,Tachycineta stolzmanni,Passeriformes,Hirundinidae (Swallows)
White-winged Swallow,Tachycineta albiventer,Passeriformes,Hirundinidae (Swallows)
White-rumped Swallow,Tachycineta leucorrhoa,Passeriformes,Hirundinidae (Swallows)
Chilean Swallow,Tachycineta leucopyga,Passeriformes,Hirundinidae (Swallows)
White-rumped/Chilean Swallow,Tachycineta leucorrhoa/leucopyga,Passeriformes,Hirundinidae (Swallows)
Mangrove Swallow,Tachycineta albilinea,Passeriformes,Hirundinidae (Swallows)
Golden Swallow,Tachycineta euchrysea,Passeriformes,Hirundinidae (Swallows)
Violet-green Swallow,Tachycineta thalassina,Passeriformes,Hirundinidae (Swallows)
Northern Rough-winged x Violet-green Swallow (hybrid),Stelgidopteryx serripennis x Tachycineta thalassina,Passeriformes,Hirundinidae (Swallows)
Tree x Violet-green Swallow (hybrid),Tachycineta bicolor x thalassina,Passeriformes,Hirundinidae (Swallows)
Tree/Violet-green Swallow,Tachycineta bicolor/thalassina,Passeriformes,Hirundinidae (Swallows)
Bahama Swallow,Tachycineta cyaneoviridis,Passeriformes,Hirundinidae (Swallows)
Tachycineta sp.,Tachycineta sp.,Passeriformes,Hirundinidae (Swallows)
Plain Martin,Riparia paludicola,Passeriformes,Hirundinidae (Swallows)
Plain Martin (African),Riparia paludicola [paludicola Group],Passeriformes,Hirundinidae (Swallows)
Plain Martin (Madagascar),Riparia paludicola cowani,Passeriformes,Hirundinidae (Swallows)
Gray-throated Martin,Riparia chinensis,Passeriformes,Hirundinidae (Swallows)
Congo Martin,Riparia congica,Passeriformes,Hirundinidae (Swallows)
Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows)
Pale Sand Martin,Riparia diluta,Passeriformes,Hirundinidae (Swallows)
Bank Swallow/Pale Sand Martin,Riparia riparia/diluta,Passeriformes,Hirundinidae (Swallows)
Banded Martin,Riparia cincta,Passeriformes,Hirundinidae (Swallows)
Riparia sp.,Riparia sp.,Passeriformes,Hirundinidae (Swallows)
Mascarene Martin,Phedina borbonica,Passeriformes,Hirundinidae (Swallows)
Brazza's Martin,Phedina brazzae,Passeriformes,Hirundinidae (Swallows)
Eurasian Crag-Martin,Ptyonoprogne rupestris,Passeriformes,Hirundinidae (Swallows)
Rock Martin,Ptyonoprogne fuligula,Passeriformes,Hirundinidae (Swallows)
Rock Martin (Pale Crag-Martin),Ptyonoprogne fuligula [obsoleta Group],Passeriformes,Hirundinidae (Swallows)
Rock Martin (Rock),Ptyonoprogne fuligula [fuligula Group],Passeriformes,Hirundinidae (Swallows)
Eurasian Crag-Martin/Rock Martin,Ptyonoprogne rupestris/fuligula,Passeriformes,Hirundinidae (Swallows)
Dusky Crag-Martin,Ptyonoprogne concolor,Passeriformes,Hirundinidae (Swallows)
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (White-bellied),Hirundo rustica rustica,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (Egyptian),Hirundo rustica savignii,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (Levant),Hirundo rustica transitiva,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (Tytler's),Hirundo rustica tytleri,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (Buff-bellied),Hirundo rustica gutturalis/mandschurica,Passeriformes,Hirundinidae (Swallows)
Barn Swallow (American),Hirundo rustica erythrogaster,Passeriformes,Hirundinidae (Swallows)
Tree x Barn Swallow (hybrid),Tachycineta bicolor x Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
Bank x Barn Swallow (hybrid),Riparia riparia x Hirundo rustica,Passeriformes,Hirundinidae (Swallows)
Red-chested Swallow,Hirundo lucida,Passeriformes,Hirundinidae (Swallows)
Ethiopian Swallow,Hirundo aethiopica,Passeriformes,Hirundinidae (Swallows)
Angola Swallow,Hirundo angolensis,Passeriformes,Hirundinidae (Swallows)
White-throated Blue Swallow,Hirundo nigrita,Passeriformes,Hirundinidae (Swallows)
White-throated Swallow,Hirundo albigularis,Passeriformes,Hirundinidae (Swallows)
Wire-tailed Swallow,Hirundo smithii,Passeriformes,Hirundinidae (Swallows)
Welcome Swallow,Hirundo neoxena,Passeriformes,Hirundinidae (Swallows)
Hill Swallow,Hirundo domicola,Passeriformes,Hirundinidae (Swallows)
Pacific Swallow,Hirundo tahitica,Passeriformes,Hirundinidae (Swallows)
Barn/Pacific Swallow,Hirundo rustica/tahitica,Passeriformes,Hirundinidae (Swallows)
Pied-winged Swallow,Hirundo leucosoma,Passeriformes,Hirundinidae (Swallows)
White-tailed Swallow,Hirundo megaensis,Passeriformes,Hirundinidae (Swallows)
Pearl-breasted Swallow,Hirundo dimidiata,Passeriformes,Hirundinidae (Swallows)
Montane Blue Swallow,Hirundo atrocaerulea,Passeriformes,Hirundinidae (Swallows)
Black-and-rufous Swallow,Hirundo nigrorufa,Passeriformes,Hirundinidae (Swallows)
Greater Striped-Swallow,Cecropis cucullata,Passeriformes,Hirundinidae (Swallows)
Red-rumped Swallow,Cecropis daurica,Passeriformes,Hirundinidae (Swallows)
Red-rumped Swallow (Red-rumped),Cecropis daurica [daurica Group],Passeriformes,Hirundinidae (Swallows)
Red-rumped Swallow (West African),Cecropis daurica domicella,Passeriformes,Hirundinidae (Swallows)
Barn x Red-rumped Swallow (hybrid),Hirundo rustica x Cecropis daurica,Passeriformes,Hirundinidae (Swallows)
Sri Lanka Swallow,Cecropis hyperythra,Passeriformes,Hirundinidae (Swallows)
Striated Swallow,Cecropis striolata,Passeriformes,Hirundinidae (Swallows)
Red-rumped/Striated Swallow,Cecropis daurica/striolata,Passeriformes,Hirundinidae (Swallows)
Lesser Striped-Swallow,Cecropis abyssinica,Passeriformes,Hirundinidae (Swallows)
Rufous-chested Swallow,Cecropis semirufa,Passeriformes,Hirundinidae (Swallows)
Mosque Swallow,Cecropis senegalensis,Passeriformes,Hirundinidae (Swallows)
Rufous-bellied Swallow,Cecropis badia,Passeriformes,Hirundinidae (Swallows)
Red-throated Swallow,Petrochelidon rufigula,Passeriformes,Hirundinidae (Swallows)
Preuss's Swallow,Petrochelidon preussi,Passeriformes,Hirundinidae (Swallows)
Red Sea Swallow,Petrochelidon perdita,Passeriformes,Hirundinidae (Swallows)
South African Swallow,Petrochelidon spilodera,Passeriformes,Hirundinidae (Swallows)
Forest Swallow,Petrochelidon fuliginosa,Passeriformes,Hirundinidae (Swallows)
Streak-throated Swallow,Petrochelidon fluvicola,Passeriformes,Hirundinidae (Swallows)
Fairy Martin,Petrochelidon ariel,Passeriformes,Hirundinidae (Swallows)
Tree Martin,Petrochelidon nigricans,Passeriformes,Hirundinidae (Swallows)
Fairy/Tree Martin,Petrochelidon ariel/nigricans,Passeriformes,Hirundinidae (Swallows)
Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
Cliff Swallow (pyrrhonota Group),Petrochelidon pyrrhonota [pyrrhonota Group],Passeriformes,Hirundinidae (Swallows)
Cliff Swallow (melanogaster),Petrochelidon pyrrhonota melanogaster,Passeriformes,Hirundinidae (Swallows)
Barn x Cliff Swallow (hybrid),Hirundo rustica x Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
Violet-green x Cliff Swallow (hybrid),Tachycineta thalassina x Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows)
Cave Swallow,Petrochelidon fulva,Passeriformes,Hirundinidae (Swallows)
Cave Swallow (Caribbean),Petrochelidon fulva [fulva Group],Passeriformes,Hirundinidae (Swallows)
Cave Swallow (Texas),Petrochelidon fulva pallida,Passeriformes,Hirundinidae (Swallows)
Cave Swallow (Yucatan),Petrochelidon fulva citata,Passeriformes,Hirundinidae (Swallows)
Barn x Cave Swallow (hybrid),Hirundo rustica x Petrochelidon fulva,Passeriformes,Hirundinidae (Swallows)
Cliff x Cave Swallow (hybrid),Petrochelidon pyrrhonota x fulva,Passeriformes,Hirundinidae (Swallows)
Cliff/Cave Swallow,Petrochelidon pyrrhonota/fulva,Passeriformes,Hirundinidae (Swallows)
Chestnut-collared Swallow,Petrochelidon rufocollaris,Passeriformes,Hirundinidae (Swallows)
Cliff/Chestnut-collared Swallow,Petrochelidon pyrrhonota/rufocollaris,Passeriformes,Hirundinidae (Swallows)
Petrochelidon sp.,Petrochelidon sp.,Passeriformes,Hirundinidae (Swallows)
Common House-Martin,Delichon urbicum,Passeriformes,Hirundinidae (Swallows)
Common House-Martin (Western),Delichon urbicum urbicum/meridionale,Passeriformes,Hirundinidae (Swallows)
Common House-Martin (Eastern),Delichon urbicum lagopodum,Passeriformes,Hirundinidae (Swallows)
Barn Swallow x Common House-Martin (hybrid),Hirundo rustica x Delichon urbicum,Passeriformes,Hirundinidae (Swallows)
Asian House-Martin,Delichon dasypus,Passeriformes,Hirundinidae (Swallows)
Common/Asian House-Martin,Delichon urbicum/dasypus,Passeriformes,Hirundinidae (Swallows)
Nepal House-Martin,Delichon nipalense,Passeriformes,Hirundinidae (Swallows)
house-martin sp.,Delichon sp.,Passeriformes,Hirundinidae (Swallows)
Square-tailed Sawwing,Psalidoprocne nitens,Passeriformes,Hirundinidae (Swallows)
Forest Swallow/Square-tailed Sawwing,Petrochelidon fuliginosa/Psalidoprocne nitens,Passeriformes,Hirundinidae (Swallows)
Mountain Sawwing,Psalidoprocne fuliginosa,Passeriformes,Hirundinidae (Swallows)
White-headed Sawwing,Psalidoprocne albiceps,Passeriformes,Hirundinidae (Swallows)
White-headed Sawwing (White-headed),Psalidoprocne albiceps albiceps,Passeriformes,Hirundinidae (Swallows)
White-headed Sawwing (Dusky-throated),Psalidoprocne albiceps suffusa,Passeriformes,Hirundinidae (Swallows)
Black Sawwing,Psalidoprocne pristoptera,Passeriformes,Hirundinidae (Swallows)
Fanti Sawwing,Psalidoprocne obscura,Passeriformes,Hirundinidae (Swallows)
sawwing sp.,Psalidoprocne sp.,Passeriformes,Hirundinidae (Swallows)
Gray-rumped Swallow,Pseudhirundo griseopyga,Passeriformes,Hirundinidae (Swallows)
White-backed Swallow,Cheramoeca leucosterna,Passeriformes,Hirundinidae (Swallows)
swallow sp.,Hirundinidae sp.,Passeriformes,Hirundinidae (Swallows)
Fairy Flycatcher,Stenostira scita,Passeriformes,Stenostiridae (Fairy Flycatchers)
Yellow-bellied Fairy-Fantail,Chelidorhynx hypoxantha,Passeriformes,Stenostiridae (Fairy Flycatchers)
African Blue Flycatcher,Elminia longicauda,Passeriformes,Stenostiridae (Fairy Flycatchers)
White-tailed Blue Flycatcher,Elminia albicauda,Passeriformes,Stenostiridae (Fairy Flycatchers)
Dusky Crested-Flycatcher,Elminia nigromitrata,Passeriformes,Stenostiridae (Fairy Flycatchers)
White-bellied Crested-Flycatcher,Elminia albiventris,Passeriformes,Stenostiridae (Fairy Flycatchers)
White-bellied Crested-Flycatcher (White-bellied),Elminia albiventris albiventris,Passeriformes,Stenostiridae (Fairy Flycatchers)
White-bellied Crested-Flycatcher (Toro),Elminia albiventris toroensis,Passeriformes,Stenostiridae (Fairy Flycatchers)
White-tailed Crested-Flycatcher,Elminia albonotata,Passeriformes,Stenostiridae (Fairy Flycatchers)
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,Passeriformes,Stenostiridae (Fairy Flycatchers)
Citrine Canary-Flycatcher,Culicicapa helianthea,Passeriformes,Stenostiridae (Fairy Flycatchers)
Fire-capped Tit,Cephalopyrus flammiceps,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Yellow-browed Tit,Sylviparus modestus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Sultan Tit,Melanochlora sultanea,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit,Periparus ater,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (British),Periparus ater britannicus/hibernicus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Continental),Periparus ater [ater Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Atlas),Periparus ater ledouci/atlas,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Cyprus),Periparus ater cypriotes,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Caucasus),Periparus ater [phaeonotus Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Black-crested),Periparus ater melanolophus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Himalayan),Periparus ater aemodius/rufipectus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Coal Tit (Chinese),Periparus ater ptilosus/kuatunensis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-breasted Tit,Periparus rufonuchalis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Rufous-vented Tit,Periparus rubidiventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Yellow-bellied Tit,Periparus venustulus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Elegant Tit,Periparus elegans,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Palawan Tit,Periparus amabilis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Crested Tit,Lophophanes cristatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Gray-crested Tit,Lophophanes dichrous,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Chestnut-bellied Tit,Sittiparus castaneoventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Iriomote Tit,Sittiparus olivaceus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Varied Tit,Sittiparus varius,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Chestnut-bellied/Varied Tit,Sittiparus castaneoventris/varius,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Owston's Tit,Sittiparus owstoni,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-fronted Tit,Sittiparus semilarvatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-browed Tit,Poecile superciliosus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Sombre Tit,Poecile lugubris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Pere David's Tit,Poecile davidi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Marsh Tit,Poecile palustris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Caspian Tit,Poecile hyrcanus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-bibbed Tit,Poecile hypermelaenus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Willow Tit,Poecile montanus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Willow Tit (Willow),Poecile montanus [montanus Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Willow Tit (Songar),Poecile montanus [songarus Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Marsh/Willow Tit,Poecile palustris/montanus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Sichuan Tit,Poecile weigoldicus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Carolina Chickadee,Poecile carolinensis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-capped Chickadee,Poecile atricapillus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Carolina x Black-capped Chickadee (hybrid),Poecile carolinensis x atricapillus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Mountain Chickadee,Poecile gambeli,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Mountain Chickadee (Rocky Mts.),Poecile gambeli [gambeli Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Mountain Chickadee (Sierra Nevada),Poecile gambeli [baileyae Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-capped x Mountain Chickadee (hybrid),Poecile atricapillus x gambeli,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-capped/Mountain Chickadee,Poecile atricapillus/gambeli,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Mexican Chickadee,Poecile sclateri,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Chestnut-backed Chickadee,Poecile rufescens,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Boreal Chickadee,Poecile hudsonicus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-capped x Boreal Chickadee (hybrid),Poecile atricapillus x hudsonicus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Mountain x Boreal Chickadee (hybrid),Poecile gambeli x hudsonicus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Gray-headed Chickadee,Poecile cinctus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Willow Tit x Gray-headed Chickadee (hybrid),Poecile montanus x cinctus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
chickadee sp.,Poecile sp.,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Eurasian Blue Tit,Cyanistes caeruleus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
African Blue Tit,Cyanistes teneriffae,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Azure Tit,Cyanistes cyanus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Azure Tit (Azure),Cyanistes cyanus [cyanus Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Azure Tit (Yellow-breasted),Cyanistes cyanus [flavipectus Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Bridled Titmouse,Baeolophus wollweberi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Oak Titmouse,Baeolophus inornatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Juniper Titmouse,Baeolophus ridgwayi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Oak/Juniper Titmouse (Plain Titmouse),Baeolophus inornatus/ridgwayi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Tufted Titmouse,Baeolophus bicolor,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Carolina Chickadee x Tufted Titmouse (hybrid),Poecile carolinensis x Baeolophus bicolor,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-capped Chickadee x Tufted Titmouse (hybrid),Poecile atricapillus x Baeolophus bicolor,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-crested Titmouse,Baeolophus atricristatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Tufted x Black-crested Titmouse (hybrid),Baeolophus bicolor x atricristatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Tufted/Black-crested Titmouse,Baeolophus bicolor/atricristatus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Ground Tit,Pseudopodoces humilis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Green-backed Tit,Parus monticolus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Great Tit,Parus major,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Great Tit (Great),Parus major [major Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Great Tit (Turkestan),Parus major [bokharensis Group],Passeriformes,Paridae (Tits/Chickadees/Titmice)
Cinereous Tit,Parus cinereus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Japanese Tit,Parus minor,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Parus sp.,Parus sp.,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-naped Tit,Machlolophus nuchalis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Yellow Tit,Machlolophus holsti,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Black-lored Tit,Machlolophus xanthogenys,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Indian Tit,Machlolophus aplonotus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Yellow-cheeked Tit,Machlolophus spilonotus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-shouldered Black-Tit,Melaniparus guineensis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-winged Black-Tit,Melaniparus leucomelas,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Rufous-bellied Tit,Melaniparus rufiventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Rufous-bellied Tit (Rufous-bellied),Melaniparus rufiventris rufiventris/masukuensis,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Rufous-bellied Tit (Cinnamon-breasted),Melaniparus rufiventris pallidiventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-bellied Tit,Melaniparus albiventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Southern Black-Tit,Melaniparus niger,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Carp's Tit,Melaniparus carpi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Dusky Tit,Melaniparus funereus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Miombo Tit,Melaniparus griseiventris,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Stripe-breasted Tit,Melaniparus fasciiventer,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Somali Tit,Melaniparus thruppi,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Red-throated Tit,Melaniparus fringillinus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
White-backed Black-Tit,Melaniparus leuconotus,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Ashy Tit,Melaniparus cinerascens,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Gray Tit,Melaniparus afer,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Parid sp.,Paridae sp.,Passeriformes,Paridae (Tits/Chickadees/Titmice)
Verdin,Auriparus flaviceps,Passeriformes,Remizidae (Penduline-Tits)
Eurasian Penduline-Tit,Remiz pendulinus,Passeriformes,Remizidae (Penduline-Tits)
Black-headed Penduline-Tit,Remiz macronyx,Passeriformes,Remizidae (Penduline-Tits)
White-crowned Penduline-Tit,Remiz coronatus,Passeriformes,Remizidae (Penduline-Tits)
Chinese Penduline-Tit,Remiz consobrinus,Passeriformes,Remizidae (Penduline-Tits)
Sennar Penduline-Tit,Anthoscopus punctifrons,Passeriformes,Remizidae (Penduline-Tits)
Mouse-colored Penduline-Tit,Anthoscopus musculus,Passeriformes,Remizidae (Penduline-Tits)
Yellow Penduline-Tit,Anthoscopus parvulus,Passeriformes,Remizidae (Penduline-Tits)
Forest Penduline-Tit,Anthoscopus flavifrons,Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit,Anthoscopus caroli,Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit (White-bellied),Anthoscopus caroli [ansorgei Group],Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit (Buff-bellied),Anthoscopus caroli sylviella/sharpei,Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit (Yellow-bellied),Anthoscopus caroli roccatii,Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit (Slaty-backed),Anthoscopus caroli rankinei,Passeriformes,Remizidae (Penduline-Tits)
African Penduline-Tit (Buff-vented),Anthoscopus caroli [caroli Group],Passeriformes,Remizidae (Penduline-Tits)
Southern Penduline-Tit,Anthoscopus minutus,Passeriformes,Remizidae (Penduline-Tits)
White-browed Tit-Warbler,Leptopoecile sophiae,Passeriformes,Aegithalidae (Long-tailed Tits)
Crested Tit-Warbler,Leptopoecile elegans,Passeriformes,Aegithalidae (Long-tailed Tits)
Long-tailed Tit,Aegithalos caudatus,Passeriformes,Aegithalidae (Long-tailed Tits)
Long-tailed Tit (caudatus),Aegithalos caudatus caudatus,Passeriformes,Aegithalidae (Long-tailed Tits)
Long-tailed Tit (europaeus),Aegithalos caudatus [europaeus Group],Passeriformes,Aegithalidae (Long-tailed Tits)
Long-tailed Tit (alpinus),Aegithalos caudatus [alpinus Group],Passeriformes,Aegithalidae (Long-tailed Tits)
Silver-throated Tit,Aegithalos glaucogularis,Passeriformes,Aegithalidae (Long-tailed Tits)
White-cheeked Tit,Aegithalos leucogenys,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-throated Tit,Aegithalos concinnus,Passeriformes,Aegithalidae (Long-tailed Tits)
Black-throated Tit (Black-throated),Aegithalos concinnus [concinnus Group],Passeriformes,Aegithalidae (Long-tailed Tits)
